1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,City_Rent,Full_Address,Property_Name_Rent,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
"$2,690 ","$3,735 ",,,,Oakland,"539 39th St, Oakland, CA 94609",MacArthur Commons,https://www.apartments.com/macarthur-commons-oakland-ca/xrz7hcm/,,,CA,"$2,535 ",Apartment,94609
"$3,040 ","$4,165 ",,,,Oakland,"3093 Broadway, Oakland, CA 94611",The Broadway,https://www.apartments.com/the-broadway-oakland-ca/zk8p87z/,,,CA,"$2,750 ",Apartment,94611
"$1,990 ","$2,670 ","$3,350 ",,,Fullerton,"770 S Harbor Blvd, Fullerton, CA 92832",770 South Harbor,https://www.apartments.com/770-south-harbor-fullerton-ca/wpeg4hk/,,,CA,,Apartment,92832
,,"$4,495 ",,,Culver City,"4025 Grand View Blvd, Culver City, CA 90066",4025 Grand View Blvd,https://www.apartments.com/4025-grand-view-blvd-culver-city-ca/8rbhex0/,,,CA,,Apartment,90066
"$1,680 ","$2,315 ","$2,535 ",,,Folsom,"525 Willard Dr, Folsom, CA 95630",HUB APARTMENTS,https://www.apartments.com/hub-apartments-folsom-ca/lt4yh5d/,,,CA,,Apartment,95630
"$2,995 ","$3,995 ",,,,Los Angeles,"11916 W Pico Blvd, Los Angeles, CA 90064",&Pico,https://www.apartments.com/pico-los-angeles-ca/p2ed18v/,,,CA,"$2,525 ",Apartment,90064
"$2,199 ","$3,050 ","$3,915 ",,,Santa Ana,"1951 E Dyer Rd, Santa Ana, CA 92705",Park & Paseo,https://www.apartments.com/park-paseo-santa-ana-ca/vtqcklf/,,,CA,"$1,950 ",Apartment,92705
"$1,755 ","$2,190 ",,,,Folsom,"1550 Broadstone Pky, Folsom, CA 95630",Talavera,https://www.apartments.com/talavera-folsom-ca/15gkqm4/,,,CA,"$1,675 ",Apartment,95630
"$1,985 ","$2,580 ","$3,443 ",,,Sacramento,"3675 T St, Sacramento, CA 95816",GIO,https://www.apartments.com/gio-sacramento-ca/9jxvlp4/,,,CA,"$1,900 ",Apartment,95816
"$3,780 ","$4,950 ",,,,San Francisco,"1699 Market St, San Francisco, CA 94103",The Rise Hayes Valley,https://www.apartments.com/the-rise-hayes-valley-san-francisco-ca/plmhlcr/,,,CA,,Apartment,94103
"$3,196 ","$3,237 ",,,,Santa Monica,"1519 6th St, Santa Monica, CA 90401",Living at Santa Monica,https://www.apartments.com/living-at-santa-monica-santa-monica-ca/zre61pw/,,,CA,"$2,404 ",Apartment,90401
"$2,085 ","$2,375 ",,,,Fremont,"5016 Paseo Padre Pky, Fremont, CA 94555",Ardenwood Forest Rental Condos,https://www.apartments.com/ardenwood-forest-rental-condos-fremont-ca/8nbehh1/,,,CA,"$1,875 ",Apartment,94555
"$1,625 ","$2,025 ",,,,La Mesa,"5401-5445 Baltimore Dr, La Mesa, CA 91942",VERANDA LA MESA,https://www.apartments.com/veranda-la-mesa-la-mesa-ca/mxr1s1l/,,,CA,"$1,575 ",Apartment,91942
